Driver,Has Assets,Image Count,Issues
avatto_bulb_tunable_ac,Yes,4,
avatto_ceiling_fan_ac,Yes,4,
avatto_co2_temp_humidity_cr2032,Yes,4,
avatto_dimmer_1gang_ac,Yes,4,
avatto_dimmer_1gang_touch_ac,Yes,4,
avatto_dimmer_ac,Yes,4,
avatto_dimmer_switch_timer_module_ac,Yes,4,
avatto_dimmer_touch_ac,Yes,4,
avatto_energy_monitoring_plug_advanced_ac,Yes,4,
avatto_energy_plug_advanced_ac,Yes,4,
avatto_innr_smart_plug_ac,Yes,1,
avatto_led_strip_advanced_ac,Yes,4,
avatto_led_strip_basic_ac,Yes,4,
avatto_led_strip_pro_ac,Yes,4,
avatto_mini_ac,Yes,4,
avatto_mini_switch_cr2032,Yes,4,
avatto_motion_sensor_mmwave_basic_cr2450,Yes,4,
avatto_osram_smart_plug_ac,Yes,1,
avatto_philips_smart_plug_ac,Yes,1,
avatto_plug_basic_ac,Yes,4,
avatto_plug_energy_monitor_ac,Yes,4,
avatto_plug_smart_ac,Yes,4,
avatto_power_meter_socket_ac,Yes,4,
avatto_radiator_valve_aa,Yes,4,
avatto_radiator_valve_smart_hybrid,Yes,4,
avatto_remote_switch_cr2032,Yes,4,
avatto_samsung_outlet_ac,Yes,1,
avatto_samsung_smart_plug_ac,Yes,1,
avatto_smart_bulb_dimmer_ac,Yes,4,
avatto_smart_bulb_rgb_ac,Yes,4,
avatto_smart_bulb_white_ac,Yes,4,
avatto_smart_plug_ac,Yes,4,
avatto_smart_plug_energy_ac,Yes,4,
avatto_smart_plug_power_meter_16a_ac,Yes,4,
avatto_smart_spot_ac,Yes,4,
avatto_smart_switch_2gang_ac,Yes,4,
avatto_smart_switch_2gang_hybrid,Yes,4,
avatto_smart_switch_4gang_ac,Yes,4,
avatto_smart_switch_4gang_hybrid,Yes,4,
avatto_smart_switch_6gang_ac,Yes,4,
avatto_smart_switch_8gang_ac,Yes,4,
avatto_sonoff_smart_plug_ac,Yes,1,
avatto_sos_emergency_button_cr2032,Yes,4,
avatto_switch_2gang_ac,Yes,4,
avatto_switch_2gang_hybrid,Yes,4,
avatto_thermostat_hybrid,Yes,4,
avatto_thermostat_smart_internal,Yes,4,
avatto_touch_switch_2gang_ac,Yes,4,
avatto_touch_switch_4gang_ac,Yes,4,
avatto_usb_outlet_ac,Yes,4,
avatto_usb_outlet_advanced_ac,Yes,4,
avatto_wall_switch_2gang_ac,Yes,4,
avatto_wall_switch_2gang_dc,Yes,4,
avatto_wall_switch_4gang_ac,Yes,4,
avatto_wall_switch_4gang_dc,Yes,4,
avatto_wall_switch_5gang_ac,Yes,4,
avatto_wall_switch_6gang_ac,Yes,4,
avatto_water_valve_aa,Yes,4,
avatto_water_valve_smart_aa,Yes,4,
avatto_water_valve_smart_hybrid,Yes,4,
avatto_wireless_switch_2gang_cr2032,Yes,4,
avatto_wireless_switch_4button_cr2450,Yes,4,
avatto_wireless_switch_4gang_cr2032,Yes,4,
avatto_wireless_switch_5button_cr2032,Yes,4,
avatto_wireless_switch_6gang_cr2032,Yes,4,
avatto_wireless_switch_cr2032,Yes,4,
generic_samsung_multipurpose_sensor_cr2032,Yes,1,
lonsonho_contact_sensor_basic_cr2032,Yes,4,
lonsonho_samsung_button_cr2450,Yes,1,
lonsonho_samsung_contact_sensor_cr2032,Yes,1,
lonsonho_shortcut_button_other,Yes,3,
lonsonho_sonoff_button_wireless_cr2450,Yes,1,
lonsonho_sonoff_contact_sensor_cr2032,Yes,1,
lonsonho_wireless_button_2gang_cr2032,Yes,4,
lsc_bulb_rgb_ac,Yes,4,
lsc_bulb_white_ac,Yes,4,
lsc_bulb_white_ambiance_ac,Yes,4,
lsc_dimmer_wireless_cr2032,Yes,4,
lsc_innr_bulb_color_ac,Yes,1,
lsc_innr_bulb_tunable_white_ac,Yes,1,
lsc_innr_bulb_white_ac,Yes,1,
lsc_led_strip_outdoor_color_ac,Yes,4,
lsc_osram_bulb_rgbw_ac,Yes,1,
lsc_osram_bulb_tunable_white_ac,Yes,1,
lsc_osram_bulb_white_ac,Yes,1,
lsc_osram_led_strip_rgbw_ac,Yes,1,
lsc_philips_bulb_color_ac,Yes,1,
lsc_philips_bulb_white_ac,Yes,1,
lsc_philips_bulb_white_ambiance_ac,Yes,1,
lsc_philips_dimmer_switch_aaa,Yes,1,
lsc_philips_led_strip_ac,Yes,1,
lsc_sonoff_led_strip_ac,Yes,1,
lsc_wireless_switch_4button_other,Yes,3,
moes_climate_monitor_cr2032,Yes,4,
moes_sonoff_temperature_humidity_cr2450,Yes,1,
nous_air_quality_monitor_ac,Yes,4,
nous_osram_outdoor_plug_ac,Yes,1,
nous_smart_plug_dimmer_ac,Yes,4,
nous_zbbridge_ac,Yes,4,
nous_zigbee_gateway_hub_ac,Yes,4,
philips_motion_sensor_aaa,Yes,1,
philips_outdoor_sensor_aaa,Yes,1,
samsung_motion_sensor_cr2450,Yes,1,
samsung_motion_sensor_outdoor_cr123a,Yes,1,
samsung_water_leak_sensor_cr2032,Yes,1,
sonoff_motion_sensor_cr2450,Yes,1,
tuya_air_conditioner_hybrid,Yes,3,
tuya_comprehensive_air_monitor_ac,Yes,4,
tuya_dehumidifier_hybrid,Yes,3,
tuya_doorbell_camera_ac,Yes,4,
tuya_doorbell_cr2032,Yes,4,
tuya_gas_sensor_ts0601_ac,Yes,4,
tuya_outdoor_siren_cr2032,Yes,4,
tuya_siren_ac,Yes,4,
tuya_smart_switch_1gang_ac,Yes,4,
tuya_smart_switch_3gang_ac,Yes,4,
tuya_soil_tester_temp_humid_cr2032,Yes,4,
zemismart_air_quality_monitor_pro_internal,Yes,4,
zemismart_curtain_motor_ac,Yes,4,
zemismart_curtain_motor_internal,Yes,4,
zemismart_doorbell_button_internal,Yes,4,
zemismart_door_controller_ac,Yes,4,
zemismart_garage_door_controller_ac,Yes,4,
zemismart_gas_detector_cr2032,Yes,4,
zemismart_humidity_controller_ac,Yes,4,
zemismart_lock_basic_aa,Yes,4,
zemismart_lock_fingerprint_aa,Yes,4,
