driver_id,zigbee2mqtt_query,blakadder_query,homey_forum_query,github_query
"generic","site:zigbee2mqtt.io \"Generic Generic Generic Generic Zigbee Device generic\"","site:blakadder.com/zigbee \"Generic Generic Generic Generic Zigbee Device generic\"","site:community.homey.app \"Generic Generic Generic Generic Zigbee Device generic\"","site:github.com zigbee \"Generic Generic Generic Generic Zigbee Device generic\""
"generic/cover","site:zigbee2mqtt.io \"Generic Cover (Intelligent) generic/cover\"","site:blakadder.com/zigbee \"Generic Cover (Intelligent) generic/cover\"","site:community.homey.app \"Generic Cover (Intelligent) generic/cover\"","site:github.com zigbee \"Generic Cover (Intelligent) generic/cover\""
"generic/light","site:zigbee2mqtt.io \"Generic Light (Intelligent) generic/light\"","site:blakadder.com/zigbee \"Generic Light (Intelligent) generic/light\"","site:community.homey.app \"Generic Light (Intelligent) generic/light\"","site:github.com zigbee \"Generic Light (Intelligent) generic/light\""
"generic/sensor","site:zigbee2mqtt.io \"Generic Sensor (Intelligent) generic/sensor\"","site:blakadder.com/zigbee \"Generic Sensor (Intelligent) generic/sensor\"","site:community.homey.app \"Generic Sensor (Intelligent) generic/sensor\"","site:github.com zigbee \"Generic Sensor (Intelligent) generic/sensor\""
"generic/switch","site:zigbee2mqtt.io \"Generic Switch (Intelligent) generic/switch\"","site:blakadder.com/zigbee \"Generic Switch (Intelligent) generic/switch\"","site:community.homey.app \"Generic Switch (Intelligent) generic/switch\"","site:github.com zigbee \"Generic Switch (Intelligent) generic/switch\""
"tuya_zigbee","site:zigbee2mqtt.io \"Tuya Tuya Tuya Tuya Zigbee Universal tuya_zigbee\"","site:blakadder.com/zigbee \"Tuya Tuya Tuya Tuya Zigbee Universal tuya_zigbee\"","site:community.homey.app \"Tuya Tuya Tuya Tuya Zigbee Universal tuya_zigbee\"","site:github.com zigbee \"Tuya Tuya Tuya Tuya Zigbee Universal tuya_zigbee\""
"tuya_zigbee/ac","site:zigbee2mqtt.io \"ac tuya_zigbee/ac\"","site:blakadder.com/zigbee \"ac tuya_zigbee/ac\"","site:community.homey.app \"ac tuya_zigbee/ac\"","site:github.com zigbee \"ac tuya_zigbee/ac\""
"tuya_zigbee/ac/aqara_ac-294","site:zigbee2mqtt.io \"Tuya aqara_ac-294 tuya_zigbee/ac/aqara_ac-294\"","site:blakadder.com/zigbee \"Tuya aqara_ac-294 tuya_zigbee/ac/aqara_ac-294\"","site:community.homey.app \"Tuya aqara_ac-294 tuya_zigbee/ac/aqara_ac-294\"","site:github.com zigbee \"Tuya aqara_ac-294 tuya_zigbee/ac/aqara_ac-294\""
"tuya_zigbee/ac/assets","site:zigbee2mqtt.io \"Assets tuya_zigbee/ac/assets\"","site:blakadder.com/zigbee \"Assets tuya_zigbee/ac/assets\"","site:community.homey.app \"Assets tuya_zigbee/ac/assets\"","site:github.com zigbee \"Assets tuya_zigbee/ac/assets\""
"tuya_zigbee/ac/ikea_ac-165","site:zigbee2mqtt.io \"Tuya ikea_ac-165 tuya_zigbee/ac/ikea_ac-165\"","site:blakadder.com/zigbee \"Tuya ikea_ac-165 tuya_zigbee/ac/ikea_ac-165\"","site:community.homey.app \"Tuya ikea_ac-165 tuya_zigbee/ac/ikea_ac-165\"","site:github.com zigbee \"Tuya ikea_ac-165 tuya_zigbee/ac/ikea_ac-165\""
"tuya_zigbee/ac/tuya_ac-322","site:zigbee2mqtt.io \"Tuya tuya_ac-322 tuya_zigbee/ac/tuya_ac-322\"","site:blakadder.com/zigbee \"Tuya tuya_ac-322 tuya_zigbee/ac/tuya_ac-322\"","site:community.homey.app \"Tuya tuya_ac-322 tuya_zigbee/ac/tuya_ac-322\"","site:github.com zigbee \"Tuya tuya_ac-322 tuya_zigbee/ac/tuya_ac-322\""
"tuya_zigbee/ac/tuya_ac_Ac_Device_Standard_Default","site:zigbee2mqtt.io \"Tuya tuya_ac_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Ac_Device_Standard_Default\"","site:blakadder.com/zigbee \"Tuya tuya_ac_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Ac_Device_Standard_Default\"","site:community.homey.app \"Tuya tuya_ac_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Ac_Device_Standard_Default\"","site:github.com zigbee \"Tuya tuya_ac_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Ac_Device_Standard_Default\""
"tuya_zigbee/ac/tuya_ac_Aqara_Ac_Device_Standard_Default","site:zigbee2mqtt.io \"Tuya tuya_ac_Aqara_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Aqara_Ac_Device_Standard_Default\"","site:blakadder.com/zigbee \"Tuya tuya_ac_Aqara_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Aqara_Ac_Device_Standard_Default\"","site:community.homey.app \"Tuya tuya_ac_Aqara_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Aqara_Ac_Device_Standard_Default\"","site:github.com zigbee \"Tuya tuya_ac_Aqara_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Aqara_Ac_Device_Standard_Default\""
"tuya_zigbee/ac/tuya_ac_Ikea_Ac_Device_Standard_Default","site:zigbee2mqtt.io \"Tuya tuya_ac_Ikea_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Ikea_Ac_Device_Standard_Default\"","site:blakadder.com/zigbee \"Tuya tuya_ac_Ikea_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Ikea_Ac_Device_Standard_Default\"","site:community.homey.app \"Tuya tuya_ac_Ikea_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Ikea_Ac_Device_Standard_Default\"","site:github.com zigbee \"Tuya tuya_ac_Ikea_Ac_Device_Standard_Default tuya_zigbee/ac/tuya_ac_Ikea_Ac_Device_Standard_Default\""
"tuya_zigbee/assets","site:zigbee2mqtt.io \"assets tuya_zigbee/assets\"","site:blakadder.com/zigbee \"assets tuya_zigbee/assets\"","site:community.homey.app \"assets tuya_zigbee/assets\"","site:github.com zigbee \"assets tuya_zigbee/assets\""
"tuya_zigbee/assets/images","site:zigbee2mqtt.io \"Images tuya_zigbee/assets/images\"","site:blakadder.com/zigbee \"Images tuya_zigbee/assets/images\"","site:community.homey.app \"Images tuya_zigbee/assets/images\"","site:github.com zigbee \"Images tuya_zigbee/assets/images\""
