driver_id,title,class,capabilities,manufacturerName,modelId,productId,has_driver_js,has_device_js,has_pair,meta_file,parse_error
"generic","Generic Zigbee Device","other","onoff","Generic","Generic","Generic",true,true,false,"drivers\\generic\\driver.compose.json",""
"generic/cover","Generic Cover (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\generic\\cover\\driver.compose.json",""
"generic/light","Generic Light (Intelligent)","light","onoff,dim,light_temperature,light_mode","","","",true,true,false,"drivers\\generic\\light\\driver.compose.json",""
"generic/sensor","Generic Sensor (Intelligent)","sensor","measure_temperature,measure_humidity,measure_pressure,measure_luminance","","","",true,true,false,"drivers\\generic\\sensor\\driver.compose.json",""
"generic/switch","Generic Switch (Intelligent)","switch","onoff","","","",true,true,false,"drivers\\generic\\switch\\driver.compose.json",""
"tuya_zigbee","Tuya Zigbee Universal","other","onoff","Tuya","Tuya","Tuya",true,true,false,"drivers\\tuya_zigbee\\driver.compose.json",""
"tuya_zigbee/ac","ac","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\ac\\driver.compose.json",""
"tuya_zigbee/ac/aqara_ac-294","","ZigBeeDevice","onoff,dim,light_temperature,light_mode","Tuya","aqara_ac-294","",true,true,false,"drivers\\tuya_zigbee\\ac\\aqara_ac-294\\driver.compose.json",""
"tuya_zigbee/ac/assets","Assets","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\ac\\assets\\driver.compose.json",""
"tuya_zigbee/ac/ikea_ac-165","","ZigBeeDevice","onoff,dim,light_temperature,light_mode","Tuya","ikea_ac-165","",true,true,false,"drivers\\tuya_zigbee\\ac\\ikea_ac-165\\driver.compose.json",""
"tuya_zigbee/ac/tuya_ac-322","","ZigBeeDevice","onoff,dim,light_temperature,light_mode","Tuya","tuya_ac-322","",true,true,false,"drivers\\tuya_zigbee\\ac\\tuya_ac-322\\driver.compose.json",""
"tuya_zigbee/ac/tuya_ac_Ac_Device_Standard_Default","","ZigBeeDevice","onoff,dim,light_temperature,light_mode","Tuya","tuya_ac_Ac_Device_Standard_Default","",true,true,false,"drivers\\tuya_zigbee\\ac\\tuya_ac_Ac_Device_Standard_Default\\driver.compose.json",""
"tuya_zigbee/ac/tuya_ac_Aqara_Ac_Device_Standard_Default","","ZigBeeDevice","onoff,dim,light_temperature,light_mode","Tuya","tuya_ac_Aqara_Ac_Device_Standard_Default","",true,true,false,"drivers\\tuya_zigbee\\ac\\tuya_ac_Aqara_Ac_Device_Standard_Default\\driver.compose.json",""
"tuya_zigbee/ac/tuya_ac_Ikea_Ac_Device_Standard_Default","","ZigBeeDevice","onoff,dim,light_temperature,light_mode","Tuya","tuya_ac_Ikea_Ac_Device_Standard_Default","",true,true,false,"drivers\\tuya_zigbee\\ac\\tuya_ac_Ikea_Ac_Device_Standard_Default\\driver.compose.json",""
"tuya_zigbee/assets","assets","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\assets\\driver.compose.json",""
"tuya_zigbee/assets/images","Images","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\assets\\images\\driver.compose.json",""
"tuya_zigbee/cover","cover","other","onoff","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\driver.compose.json",""
"tuya_zigbee/cover/aqara_blind-772","Aqara Blind-772 (Intelligent)","cover","windowcoverings_state,windowcoverings_set","","","",true,true,false,"drivers\\tuya_zigbee\\cover\\aqara_blind-772\\driver.compose.json",""
